cooalpha,codalpha,commodity_code,statreg,eligibility,use,perref,statvalue,netmass,suppunit,month,year,imports_total,imports_exc_special_regime,eligibility_mfn,eligibility_gsp,eligibility_fta,eligibility_combined_pref,eligibility_unknown,eligibility__pref_unknown,use_mfn_0,use_mfn_non_0,use_gsp_0,use_gsp_non_0,use_fta_0,use_fta_non_0,use_unknown,eligibility_pref,use_pref
AE,AE,61113090,1,e1,u11,202201,4280,91,0.0,01,2022,4280,4280,4280,0,0,0,0,0,0,4280,0,0,0,0,0,0,0
AE,AE,62014010,1,e1,u11,202201,18753,472,2054.0,01,2022,18753,18753,18753,0,0,0,0,0,0,18753,0,0,0,0,0,0,0
AE,AE,62024010,1,e1,u11,202201,2889,71,324.0,01,2022,2889,2889,2889,0,0,0,0,0,0,2889,0,0,0,0,0,0,0
AE,AE,62034231,1,e1,u11,202201,12334,643,770.0,01,2022,12334,12334,12334,0,0,0,0,0,0,12334,0,0,0,0,0,0,0
AE,AE,62034390,1,e1,u11,202201,30734,1599,2994.0,01,2022,30734,30734,30734,0,0,0,0,0,0,30734,0,0,0,0,0,0,0
AE,AE,62043100,1,e1,u11,202201,60683,1529,2217.0,01,2022,60683,60683,60683,0,0,0,0,0,0,60683,0,0,0,0,0,0,0
AE,AE,62044100,1,e1,u11,202201,48916,1455,2110.0,01,2022,48916,48916,48916,0,0,0,0,0,0,48916,0,0,0,0,0,0,0
AE,AE,62044200,1,e1,u11,202201,13118,428,2145.0,01,2022,13118,13118,13118,0,0,0,0,0,0,13118,0,0,0,0,0,0,0
AE,AE,62044300,1,e1,u11,202201,64404,1776,7190.0,01,2022,64404,64404,64404,0,0,0,0,0,0,64404,0,0,0,0,0,0,0
AE,AE,62045100,1,e1,u11,202201,25620,1716,1184.0,01,2022,25620,25620,25620,0,0,0,0,0,0,25620,0,0,0,0,0,0,0
AE,AE,62046185,1,e1,u11,202201,31803,2168,2018.0,01,2022,31803,31803,31803,0,0,0,0,0,0,31803,0,0,0,0,0,0,0
AE,AE,62052000,1,e1,u11,202201,2202,82,125.0,01,2022,2202,2202,2202,0,0,0,0,0,0,2202,0,0,0,0,0,0,0
AE,AE,62063000,1,e1,u11,202201,27019,846,3513.0,01,2022,27019,27019,27019,0,0,0,0,0,0,27019,0,0,0,0,0,0,0
AE,AE,62064000,1,e1,u11,202201,142090,2518,17142.0,01,2022,142090,142090,142090,0,0,0,0,0,0,142090,0,0,0,0,0,0,0
AE,AE,62092000,1,e1,u11,202201,5314,180,0.0,01,2022,5314,5314,5314,0,0,0,0,0,0,5314,0,0,0,0,0,0,0
